,pattern,txt,replacement,filename
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1963-höst-fk--34
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1963-höst-fk--34
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1963-höst-fk--34
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1963-höst-fk--34
2,fcfff492e00727b6,Stockholm,Helsingfors,prot-1963-höst-fk--34
3,fcfff492e00727b6,Stockholm,Helsingfors,prot-1963-höst-fk--34
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1963-höst-fk--34
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1963-höst-fk--34
2,fcfff492e00727b6,Stockholm,Helsingfors,prot-1963-höst-fk--34
3,fcfff492e00727b6,Stockholm,Helsingfors,prot-1963-höst-fk--34
4,fcfff492e00727b6,Stockholm,Helsingfors,prot-1963-höst-fk--34
5,fcfff492e00727b6,Stockholm,Helsingfors,prot-1963-höst-fk--34
6,fcfff492e00727b6,Stockholm,Helsingfors,prot-1963-höst-fk--34
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1963-höst-fk--34
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1963-höst-fk--34
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1963-höst-fk--34
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1963-höst-fk--34
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1963-höst-fk--34
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1963-höst-fk--34
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1963-höst-fk--34
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1963-höst-fk--34
