,pattern,txt,replacement,filename
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1968-höst-ak--42
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1968-höst-ak--42
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1968-höst-ak--42
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1968-höst-ak--42
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1968-höst-ak--42
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1968-höst-ak--42
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1968-höst-ak--42
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1968-höst-ak--42
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1968-höst-ak--42
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1968-höst-ak--42
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1968-höst-ak--42
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1968-höst-ak--42
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1968-höst-ak--42
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1968-höst-ak--42
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1968-höst-ak--42
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1968-höst-ak--42
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1968-höst-ak--42
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1968-höst-ak--42
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1968-höst-ak--42
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1968-höst-ak--42
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1968-höst-ak--42
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1968-höst-ak--42
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1968-höst-ak--42
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1968-höst-ak--42
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1968-höst-ak--42
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1968-höst-ak--42
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1968-höst-ak--42
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1968-höst-ak--42
