,pattern,txt,replacement,filename
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1968--fk--17
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1968--fk--17
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1968--fk--17
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1968--fk--17
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1968--fk--17
2,fcfff492e00727b6,Stockholm,Helsingfors,prot-1968--fk--17
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1968--fk--17
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1968--fk--17
2,fcfff492e00727b6,Stockholm,Helsingfors,prot-1968--fk--17
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1968--fk--17
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1968--fk--17
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1968--fk--17
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1968--fk--17
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1968--fk--17
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1968--fk--17
