,pattern,txt,replacement,filename
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1957--fk--17
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1957--fk--17
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1957--fk--17
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1957--fk--17
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1957--fk--17
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1957--fk--17
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1957--fk--17
2,fcfff492e00727b6,Stockholm,Helsingfors,prot-1957--fk--17
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1957--fk--17
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1957--fk--17
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1957--fk--17
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1957--fk--17
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1957--fk--17
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1957--fk--17
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1957--fk--17
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1957--fk--17
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1957--fk--17
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1957--fk--17
2,fcfff492e00727b6,Stockholm,Helsingfors,prot-1957--fk--17
3,fcfff492e00727b6,Stockholm,Helsingfors,prot-1957--fk--17
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1957--fk--17
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1957--fk--17
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1957--fk--17
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1957--fk--17
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1957--fk--17
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1957--fk--17
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1957--fk--17
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1957--fk--17
