,pattern,txt,replacement,filename
0,metadata,Riksdagens protokoll,,prot-198283--8
0,metadata,1982/83 1-9,,prot-198283--8
0,metadata,Val av talman,,prot-198283--8
0,metadata,1982/83:8,,prot-198283--8
0,metadata,konstitutionsutskottet,,prot-198283--8
0,metadata,utrikesutskottet,,prot-198283--8
0,metadata,utbildningsutskottet,,prot-198283--8
0,metadata,civilutskottet,,prot-198283--8
0,metadata,justitieutskottet,,prot-198283--8
0,metadata,Nr 8 Tisdagen den 12 oktober 1982,,prot-198283--8
0,metadata,socialutskottet,,prot-198283--8
0,metadata,jordbruksutskottet,,prot-198283--8
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-198283--8
0,metadata,utskottskommitté inkommet betänkande om riksdagens utskott (förs. 1981/82:22),,prot-198283--8
1,metadata,1982/83:7 av Oswald Söderqvist (vpk) till försvarsministern om JAS- projektet:,,prot-198283--8
0,metadata,Nr 8 Tisdagen den,,prot-198283--8
0,metadata,148 Kammaren åtskildes kl. 11.25.,,prot-198283--8
0,metadata,GOTAB 72767 Stockholm 1982,,prot-198283--8
