,pattern,txt,replacement,filename
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1967-höst-ak--53
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1967-höst-ak--53
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1967-höst-ak--53
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1967-höst-ak--53
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1967-höst-ak--53
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1967-höst-ak--53
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1967-höst-ak--53
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1967-höst-ak--53
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1967-höst-ak--53
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1967-höst-ak--53
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1967-höst-ak--53
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1967-höst-ak--53
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1967-höst-ak--53
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1967-höst-ak--53
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1967-höst-ak--53
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1967-höst-ak--53
2,fcfff492e00727b6,Stockholm,Helsingfors,prot-1967-höst-ak--53
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1967-höst-ak--53
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1967-höst-ak--53
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1967-höst-ak--53
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1967-höst-ak--53
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1967-höst-ak--53
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1967-höst-ak--53
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1967-höst-ak--53
