,pattern,txt,replacement,filename
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1956--fk--17
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1956--fk--17
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1956--fk--17
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1956--fk--17
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1956--fk--17
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1956--fk--17
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1956--fk--17
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1956--fk--17
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1956--fk--17
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1956--fk--17
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1956--fk--17
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1956--fk--17
2,fcfff492e00727b6,Stockholm,Helsingfors,prot-1956--fk--17
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1956--fk--17
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1956--fk--17
2,fcfff492e00727b6,Stockholm,Helsingfors,prot-1956--fk--17
3,fcfff492e00727b6,Stockholm,Helsingfors,prot-1956--fk--17
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1956--fk--17
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1956--fk--17
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1956--fk--17
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1956--fk--17
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1956--fk--17
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1956--fk--17
2,fcfff492e00727b6,Stockholm,Helsingfors,prot-1956--fk--17
3,fcfff492e00727b6,Stockholm,Helsingfors,prot-1956--fk--17
4,fcfff492e00727b6,Stockholm,Helsingfors,prot-1956--fk--17
5,fcfff492e00727b6,Stockholm,Helsingfors,prot-1956--fk--17
6,fcfff492e00727b6,Stockholm,Helsingfors,prot-1956--fk--17
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1956--fk--17
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1956--fk--17
2,fcfff492e00727b6,Stockholm,Helsingfors,prot-1956--fk--17
3,fcfff492e00727b6,Stockholm,Helsingfors,prot-1956--fk--17
4,fcfff492e00727b6,Stockholm,Helsingfors,prot-1956--fk--17
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1956--fk--17
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1956--fk--17
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1956--fk--17
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1956--fk--17
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1956--fk--17
2,fcfff492e00727b6,Stockholm,Helsingfors,prot-1956--fk--17
