,pattern,txt,replacement,filename
0,metadata,Riksdagens protokoll,,prot-198182--41
0,metadata,1981/82:14 om information till röstberättigade utlandssvenskar .,,prot-198182--41
0,metadata,1981/82 39-41,,prot-198182--41
0,metadata,Besparingar inom som ”—- 200 realt” vilket enligt räkneexemplet svarar mot '— 400 nominellt” och,,prot-198182--41
0,metadata,5 Riksdagens protokoll 19811/82:39-41,,prot-198182--41
0,metadata,"Föredrogs socialförsäkringsutskottets betänkande 1981/82:4 om vissa ekonomisk-politiska åtgärder, m. m. (prop. 1981/82:30).",,prot-198182--41
0,metadata,Nr 41 Onsdagen den 2 december 1981,,prot-198182--41
0,metadata,Mom. 2 Utskottets hemställan bifölls.,,prot-198182--41
0,metadata,6 Riksdagens protokoll 1981/82:39-41,,prot-198182--41
0,metadata,Nr 41 Onsdagen den,,prot-198182--41
0,metadata,Överläggningen var härmed avslutad.,,prot-198182--41
0,metadata,Besparingar inom,,prot-198182--41
0,metadata,Onsdagen den 2 december 1981,,prot-198182--41
0,metadata,8 Riksdagens protokoll 1981/82:39-41,,prot-198182--41
0,metadata,sa psykiskt utveck-,,prot-198182--41
0,metadata,2 2 december 1981 Anf. 89 GÖRAN KARLSSON (s):,,prot-198182--41
0,metadata,198 Utbildning för undervisningsyrken,,prot-198182--41
0,metadata,10 Riksdagens protokoll 1981/82:39-41,,prot-198182--41
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-198182--41
1,metadata,1981/82:6 om investeringar på Arlanda flygplats (skr. 1981/82:36),,prot-198182--41
0,metadata,12 Riksdagens protokoll 1981182:39-41,,prot-198182--41
0,metadata,1981/82:150 av Lars Werner m. fl. med anledning av proposition 1981/82:70 om ändrade regler för särskilt forskningsavdrag,,prot-198182--41
0,metadata,"1981/82:96 av Oswald Söderqvist (vpk) till arbetsmarknadsministern om upparbetning av svenskt kärnkraftsavfall, m. m.:",,prot-198182--41
0,metadata,1981/82:153 av Sonja Rembo (m) till kommunikationsministern om konkurrenssituationen för svenska rederier:,,prot-198182--41
0,metadata,Förteckning över talare 1981/82 (Siffrorna avser sida i protokollen) 39-41,,prot-198182--41
0,metadata,GOTAB Stockholm 1982,,prot-198182--41
