protocol_id,page,cb_ix,tb_ix,pattern,segmentation,who,id
prot-1958-a-ak--12,0,2,-1,,metadata,,
prot-1958-a-ak--12,0,4,-1,,metadata,,
prot-1958-a-ak--12,0,5,-1,,metadata,,
prot-1958-a-ak--12,0,6,-1,,metadata,,
prot-1958-a-ak--12,0,10,-1,,metadata,,
prot-1958-a-ak--12,1,0,-1,,metadata,,
prot-1958-a-ak--12,1,4,-1,,metadata,,
prot-1958-a-ak--12,1,6,-1,,metadata,,
prot-1958-a-ak--12,1,7,-1,,metadata,,
prot-1958-a-ak--12,1,8,-1,,metadata,,
prot-1958-a-ak--12,1,9,-1,,metadata,,
prot-1958-a-ak--12,1,10,-1,,metadata,,
prot-1958-a-ak--12,1,11,-1,,metadata,,
prot-1958-a-ak--12,1,12,-1,,metadata,,
prot-1958-a-ak--12,2,0,-1,,metadata,,
prot-1958-a-ak--12,2,1,-1,,metadata,,
prot-1958-a-ak--12,2,2,-1,,metadata,,
prot-1958-a-ak--12,2,4,-1,,metadata,,
prot-1958-a-ak--12,2,6,-1,,metadata,,
prot-1958-a-ak--12,2,15,-1,,metadata,,
prot-1958-a-ak--12,3,0,-1,,metadata,,
prot-1958-a-ak--12,3,1,-1,,metadata,,
prot-1958-a-ak--12,4,0,-1,,metadata,,
prot-1958-a-ak--12,4,1,-1,,metadata,,
prot-1958-a-ak--12,5,0,-1,,metadata,,
prot-1958-a-ak--12,5,1,-1,,metadata,,
prot-1958-a-ak--12,5,4,0,f0d538d10bda4e34,speech_start,,prot-1958-a-ak--12-unk--1
prot-1958-a-ak--12,6,0,-1,,metadata,,
prot-1958-a-ak--12,6,1,-1,,metadata,,
prot-1958-a-ak--12,7,0,-1,,metadata,,
prot-1958-a-ak--12,7,1,-1,,metadata,,
prot-1958-a-ak--12,8,0,-1,,metadata,,
prot-1958-a-ak--12,8,1,-1,,metadata,,
prot-1958-a-ak--12,8,6,0,f0d538d10bda4e34,speech_start,helmer_holmberg_f11968,prot-1958-a-ak--12-helmer_holmberg_f11968--1
prot-1958-a-ak--12,8,6,0,0ba23c147c1beed8,speech_start,helmer_holmberg_f11968,prot-1958-a-ak--12-helmer_holmberg_f11968--2
prot-1958-a-ak--12,9,0,-1,,metadata,,
prot-1958-a-ak--12,9,1,-1,,metadata,,
prot-1958-a-ak--12,9,4,0,f0d538d10bda4e34,speech_start,torgil_von_seth_cd3c84,prot-1958-a-ak--12-torgil_von_seth_cd3c84--1
prot-1958-a-ak--12,10,0,-1,,metadata,,
prot-1958-a-ak--12,10,1,-1,,metadata,,
prot-1958-a-ak--12,11,0,-1,,metadata,,
prot-1958-a-ak--12,11,1,-1,,metadata,,
prot-1958-a-ak--12,11,7,0,f0d538d10bda4e34,speech_start,axel_rubbestad_5e0636,prot-1958-a-ak--12-axel_rubbestad_5e0636--1
prot-1958-a-ak--12,11,7,0,0ba23c147c1beed8,speech_start,axel_rubbestad_5e0636,prot-1958-a-ak--12-axel_rubbestad_5e0636--2
prot-1958-a-ak--12,12,0,-1,,metadata,,
prot-1958-a-ak--12,12,1,-1,,metadata,,
prot-1958-a-ak--12,13,0,-1,,metadata,,
prot-1958-a-ak--12,13,1,-1,,metadata,,
prot-1958-a-ak--12,13,6,0,f0d538d10bda4e34,speech_start,,prot-1958-a-ak--12-unk--2
prot-1958-a-ak--12,14,0,-1,,metadata,,
prot-1958-a-ak--12,14,1,-1,,metadata,,
prot-1958-a-ak--12,14,6,0,f0d538d10bda4e34,speech_start,,prot-1958-a-ak--12-unk--3
prot-1958-a-ak--12,15,0,-1,,metadata,,
prot-1958-a-ak--12,15,8,-1,,metadata,,
prot-1958-a-ak--12,15,10,-1,,metadata,,
prot-1958-a-ak--12,15,11,-1,,metadata,,
prot-1958-a-ak--12,15,14,0,f0d538d10bda4e34,speech_start,helmer_holmberg_f11968,prot-1958-a-ak--12-helmer_holmberg_f11968--3
prot-1958-a-ak--12,15,14,0,0ba23c147c1beed8,speech_start,helmer_holmberg_f11968,prot-1958-a-ak--12-helmer_holmberg_f11968--4
prot-1958-a-ak--12,15,15,0,f0d538d10bda4e34,speech_start,,prot-1958-a-ak--12-unk--4
prot-1958-a-ak--12,16,0,-1,,metadata,,
prot-1958-a-ak--12,16,1,-1,,metadata,,
prot-1958-a-ak--12,16,8,-1,,metadata,,
prot-1958-a-ak--12,16,9,-1,,metadata,,
prot-1958-a-ak--12,16,16,-1,,metadata,,
prot-1958-a-ak--12,17,0,-1,,metadata,,
prot-1958-a-ak--12,17,1,-1,,metadata,,
prot-1958-a-ak--12,18,0,-1,,metadata,,
prot-1958-a-ak--12,18,1,-1,,metadata,,
prot-1958-a-ak--12,18,4,0,f0d538d10bda4e34,speech_start,,prot-1958-a-ak--12-unk--5
prot-1958-a-ak--12,18,7,-1,,metadata,,
prot-1958-a-ak--12,18,8,-1,,metadata,,
prot-1958-a-ak--12,18,11,-1,,metadata,,
prot-1958-a-ak--12,19,0,-1,,metadata,,
prot-1958-a-ak--12,19,1,-1,,metadata,,
prot-1958-a-ak--12,19,5,0,f0d538d10bda4e34,speech_start,,prot-1958-a-ak--12-unk--6
prot-1958-a-ak--12,19,6,0,f0d538d10bda4e34,speech_start,olof_andreasson_9c7bd5,prot-1958-a-ak--12-olof_andreasson_9c7bd5--1
