,pattern,txt,replacement,filename
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1965--ak--28
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1965--ak--28
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1965--ak--28
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1965--ak--28
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1965--ak--28
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1965--ak--28
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1965--ak--28
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1965--ak--28
2,fcfff492e00727b6,Stockholm,Helsingfors,prot-1965--ak--28
3,fcfff492e00727b6,Stockholm,Helsingfors,prot-1965--ak--28
4,fcfff492e00727b6,Stockholm,Helsingfors,prot-1965--ak--28
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1965--ak--28
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1965--ak--28
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1965--ak--28
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1965--ak--28
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1965--ak--28
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1965--ak--28
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1965--ak--28
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1965--ak--28
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1965--ak--28
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1965--ak--28
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1965--ak--28
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1965--ak--28
