,pattern,txt,replacement,filename
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1969--ak--5
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1969--ak--5
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1969--ak--5
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1969--ak--5
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1969--ak--5
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1969--ak--5
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1969--ak--5
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1969--ak--5
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1969--ak--5
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1969--ak--5
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1969--ak--5
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1969--ak--5
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1969--ak--5
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1969--ak--5
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1969--ak--5
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1969--ak--5
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1969--ak--5
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1969--ak--5
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1969--ak--5
2,fcfff492e00727b6,Stockholm,Helsingfors,prot-1969--ak--5
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1969--ak--5
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1969--ak--5
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1969--ak--5
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1969--ak--5
2,fcfff492e00727b6,Stockholm,Helsingfors,prot-1969--ak--5
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1969--ak--5
