,pattern,txt,replacement,filename
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
2,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
2,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
2,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
2,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
2,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
3,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
4,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
5,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
6,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
2,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
3,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
2,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
3,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
2,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1952--ak--7
